Dni    Distrito Clasificiacion   Descuento
====================================================================================================
61061535       15055           B        2.60
57182371       15068           F       35.11
52313890       15058           E       12.96
68114999       15047           F       24.26
93961840       15020           E       15.57
31284904       15031           F       85.19
43704548       15088           E       84.78
86988155       15041           A       21.32
54149342       15047           E       62.10
34571095       15067           F       34.67
62287143       15089           B       15.02
94683380       15082           E       58.66
93231760       15094           E       22.25
35606314       15060           F       70.47
59561864       15047           A       11.25
51465986       15012           E        7.80
66039166       15055           B       48.69
32538825       15041           E       83.54
36934113       15090           E       85.27
20371464       15090           E       42.96
12484697       15018           F       44.25
72973662       15088           C        4.87
45914393       15023           E        5.05
80694546       15025           E        4.19
51642949       15088           E       27.79
75100362       15018           F        6.22
45201670       15025           E       84.79
90367684       15068           F       25.37
35852072       15089           E       44.29
13731806       15082           B       26.18
22598563       15055           A       81.22
66091742       15023           D       35.49
54815159       15090           E       52.58
81647285       15082           F       24.13
41964357       15020           F       58.30
37282858       15019           C       79.54
17299012       15019           C       29.98
15290194       15056           E       88.17
68269451       15068           F       77.30
30246960       15019           F        4.44
22679759       15019           E        0.00
51873364       15045           E        9.49
62126128       15031           E       22.47
53420926       15023           F       39.11
93282118       15055           F       63.25
71422479       15088           E       79.07
14956687       15027           F       28.09
35347567       15039           C       72.10
28992638       15086           B        6.95
85395219       15070           E       29.81
58643376       15058           C       20.23
93939698       15043           E       14.49
63640178       15039           C       11.46
99891737       15094           F        0.00
77440060       15026           C       42.13
77324146       15023           E       23.10
34697743       15086           D       53.14
65912822       15012           E       77.02
91187814       15067           B       59.80
49357767       15034           B       77.12
92275859       15068           F       38.99
27709566       15043           E       22.82
95656771       15012           F       64.08
81539774       15070           D       76.71
72330000       15070           F        2.07
36471787       15094           E       65.08
59596317       15045           B       16.88
====================================================================================================
Medicina       Costo
====================================================================================================
60509       58.65
73972       54.40
94429       52.70
43709       78.20
82469       60.35
93578       55.25
26484       29.75
95196       62.05
65667       61.20
94415       68.85
11370        2.55
49644       73.95
76238       56.95
76596        9.35
48244       25.50
34070       73.10
70226       39.95
30220       39.95
88681       53.55
40645        4.25
77358       61.20
41995       25.50
90198       44.20
77466        5.95
61508        4.25
22842       47.60
53166        5.95
54692       28.90
85865        8.50
16055       45.90
22553       39.10
31311       65.45
43633       39.10
31389       52.70
79996       31.45
48039       11.90
16299       49.30
26506       28.05
89325       79.05
55701       46.75
16681       22.10
27016       51.00
85325       56.10
30428       19.55
15098       81.60
42861       23.80
13364       13.60
86451       21.25
32486       24.65
77203       80.75
30007        0.85
65536        1.70
84771       39.10
81695       15.30
49756       52.70
58200       56.10
89839       73.95
53084        0.85
61039       78.20
36822        9.35
24522       43.35
37007       47.60
17845        5.10
19397       37.40
45814       35.70
49157       66.30
72939       76.50
26920       45.05
31883       67.15
64347       65.45
30430       22.10
38648       69.70
59121       81.60
41379        1.70
42053       10.20
16359       75.65
17645       22.95
33276       11.05
98679       41.65
86828       32.30
95540       28.05
94459       53.55
60888        7.65
26754       68.00
79189       73.10
81333       40.80
33311       20.40
62302       41.65
72495       43.35
16813        5.95
36711       84.15
55021       82.45
34080       60.35
36622       57.80
72969       58.65
40997       41.65
67415       52.70
70024       68.85
22232       69.70
33390       28.90
58252       34.85
86476       11.05
96881        7.65
79851       84.15
30796       54.40
73174       41.65
76360       32.30
52072       63.75
68539        5.10
14075        9.35
53200       68.85
92628       45.90
47734       39.10
46919        5.95
57505       43.35
34027       79.05
96031       45.90
42856       10.20
48557       59.50
65985       79.90
41403       43.35
24733       59.50
31189       40.80
28219       82.45
28409        4.25
80830       78.20
84766       79.90
97465        4.25
30690       41.65
25684       84.15
84555        4.25
72061       51.00
55439       72.25
92517       11.90
37549       44.20
43222       11.05
92560       28.90
81821       61.20
51148       56.10
39088       11.90
74680       56.10
85641       28.90
27447       59.50
61295       84.15
44253       36.55
57036       38.25
22306       76.50
53846       47.60
63555       43.35
70303       72.25
36649       79.05
96554        4.25
86681        8.50
44215       33.15
62008       17.85
68610       51.85
55813       22.95
50450       74.80
67784       73.95
82528       19.55
28892       26.35
86158       47.60
77534       38.25
81960       81.60
60086       23.80
70225       47.60
83801       37.40
83510       22.95
11592       68.00
47697       14.45
59395       16.15
60685       79.90
58259       85.00
17790       17.00
34066       51.85
70113       30.60
14962       46.75
91282        6.80
76247       59.50
12388       76.50
80839       51.00
70807       22.95
70950       45.05
88994       39.10
90300       40.80
26360        8.50
46000       50.15
61211       78.20
89528       13.60
58036       33.15
39779       85.00
91653       40.80
49685       45.05
36208       63.75
30228       12.75
33200       76.50
18672       15.30
17804       10.20
68346       10.20
75565       46.75
57269       34.00
28992       64.60
70116       23.80
68730        0.85
88266       73.95
98261       70.55
40862       76.50
68860       59.50
39172       41.65
74924       37.40
81062        9.35
