PRUEBA DE CARGA DE VENTAS
============================================================
Codigo   DNI         Fecha      Puntaje
============================================================
CRY6839  34460612    20231015      93
WPU8819  42302422    20240209      15
PQZ1316  34460612    20240402      73
IIM5175  46582367    20231114      50
KWL0415  37751890    20230923      62
CPE5718  69200503    20230921      19
SMW0186  36699613    20231025      19
ZAL2738  51235238    20240507      12
XTM9385  60740809    20230911      29
HWM4049  72832218    20240122      93
QMI4747  47659552    20240225       1
DVL7760  69200503    20231001      67
UCJ9882  54393647    20240123      90
KSX7995  33583840    20240411      29
WWT1581  27109544    20240429      32
RWW7975  65071478    20231218      10
RSK1164  38724322    20231218     100
KGO1734  11750801    20230928      72
DDQ0721  32231860    20230910      57
XIU2628  86898639    20240321       7
XIU6076  47659552    20231222       6
BTX3816  92240876    20240323      68
FYV9055  65071478    20231202      58
KGO1734  66747161    20231001      47
FYV9055  14268463    20240413      22
VFZ9435  45834351    20240216      90
QBL9575  17750908    20240502      49
YZV6954  42302422    20240311      59
TOJ1764  65830353    20240111      73
HGQ0131  37751890    20240315      28
PCS8992  21344013    20240304       3
GOG7446  96056368    20231111      24
DEK2757  86898639    20240306       4
CRY6839  33958767    20231103      37
JZC7527  67066631    20230910      14
NEW1762  20449598    20240119      40
JSM8271  15129661    20240131      81
JXK3142  69200503    20240216      49
YJI3961  47659552    20231023      91
ZQD4253  21344013    20240115      75
SMI7078  92240876    20240212      24
JXK3142  87804471    20231205      41
DPZ8059  45002711    20240323      91
LRV5687  33958767    20231006      62
WYE2119  11750801    20231013      22
SQB7146  72832218    20230928      76
WOF6634  15129661    20240219      27
BZY0235  14268463    20230924       5
GKG6581  69200503    20240128      10
JZC7527  20610190    20240306      88
ELC8965  87804471    20240105      78
JXK3142  81082011    20240111      59
HRT0664  35030611    20231003       5
JGG5049  61212473    20240109       4
NEO9165  88080249    20240426      92
HPP3360  85870289    20230926      66
JZU0977  83265244    20231106      82
SFR1226  34460612    20230902      91
EZP0333  81462164    20240427      63
FNM6936  27109544    20240201      65
WYE2119  69200503    20240424      95
GWE4133  65830353    20240402       5
CRY6839  37751890    20240427      72
RNG2321  87804471    20240404      58
CMP1150  81462164    20230906      92
ALH8812  14500753    20231224      46
EJE8138  79743481    20240224      90
PQZ1316  49516360    20231010      49
IPE3429  65071478    20230929      70
KLV1872  11750801    20231119      98
EZP0333  37328103    20240103      29
SFZ1256  45181396    20240109      24
QQQ4712  21344013    20231231      53
RII8346  66747161    20240109      92
ZLE2920  35030611    20231209      83
JBR9372  37751890    20231111      36
XIU2628  65830353    20240418      29
EBT7258  46582367    20240222      20
KWL0415  92240876    20240207      55
BXE0974  83265244    20230924      53
KPE7420  63602514    20231113       8
NGQ6935  47659552    20240119      25
DDU0764  60740809    20230906       4
DVL7760  57431952    20240311      34
FBO8724  58717040    20231110      52
BSX2922  54393647    20240203      97
VPN5351  87804471    20240102      67
IFL0150  14268463    20240507      99
SQB7146  88080249    20230913      43
QRH6838  81082011    20231213      14
BTX3816  37751890    20240410      80
HPM0950  37751890    20240209       8
ETZ8565  14268463    20231002      33
RWW7975  33583840    20240412      71
ULM8751  81462164    20240220      99
CKC4095  34460612    20231125       3
TAB4639  42302422    20230929      18
KLO8691  45181396    20231124      13
VSG3432  57431952    20230917      83
JZQ8143  57431952    20240331      81
NBL8415  49516360    20231103      44
MBQ9495  37328103    20240501       4
KWL0415  72832218    20240321      33
PZP7176  83265244    20240213      79
YZV6954  58717040    20240212      56
HPM0950  37751890    20240111      55
CRR5443  57431952    20240224      40
QBL9575  42302422    20240128      49
IUG2294  17750908    20240120      55
KVL6246  81462164    20230919      99
WOF6634  65071478    20240124       6
HPP3360  47659552    20231130      80
WCZ0845  38724322    20240326      38
UDS2730  50860318    20240324      57
BUY4915  76693511    20231101      14
JLQ6546  14500753    20231226      31
CST1133  37328103    20240110      60
EBT7258  49516360    20231217      63
USE5598  17750908    20240213      39
LDL2628  14500753    20231206      90
QCA9584  92240876    20231027      68
SFZ1256  85870289    20240327      24
JZQ8143  51235238    20231002       4
HPP3360  81082011    20230913      58
GQC1814  11750801    20240323      32
VFZ9435  48053960    20231004      19
BHD6079  14268463    20230923      74
VYG3594  34460612    20231004      22
CTW5846  42302422    20230915      13
XCC4070  34460612    20231005      48
MBQ9495  46582367    20240310      87
IMK4892  37751890    20240320      67
KGO1734  69200503    20231030      42
SBU9053  36699613    20240430       2
VSG3432  60740809    20231221      79
MNL3677  72832218    20230925      34
IUI3314  47659552    20231129      58
UEJ1235  69200503    20231207      52
SPM4763  54393647    20231006      49
WPU8819  33583840    20240207       9
OBD2849  27109544    20230922      58
HGN9910  38724322    20230926      42
CRY6839  11750801    20240128       9
RWW7975  32231860    20231209      60
UEJ1235  86898639    20240323      95
VFI8064  47659552    20231208      85
DEK2757  92240876    20240103      72
QRH6838  65071478    20240205      26
EEJ4830  66747161    20230922      98
VFI8064  14268463    20230905      87
BZY0235  45834351    20231228      61
DDQ0721  17750908    20231220      63
QKH2262  42302422    20231228      88
EDQ0577  65830353    20240111      91
RLQ7170  37751890    20231024      97
UXZ2187  21344013    20240224      86
JXK3142  96056368    20240323      20
FMX8255  86898639    20230901       7
RZX8790  33958767    20240211      43
CST1133  67066631    20240401     100
WMN3648  20449598    20240102       8
IIM5175  69200503    20231121      14
NBL8415  47659552    20231021      23
USM9579  21344013    20230923      20
RZX8790  92240876    20240509      18
ZPD6557  87804471    20240217      43
AKU9740  45002711    20240220      35
XIU6076  33958767    20231106      37
IMK4892  72832218    20231210      26
RAO4129  15129661    20231103      21
PQZ1316  14268463    20240221      75
ZOY6470  87804471    20231124      73
CXW5879  81082011    20240318      10
PZP7176  88080249    20240318      20
PQB0775  83265244    20231022      13
GUN8655  34460612    20240422      13
CLG5566  81462164    20231127      65
ECT0289  27109544    20231010      63
UXZ2187  69200503    20231105      16
BDK4183  65830353    20230930       4
WGA2754  37751890    20240220       1
ICU6090  87804471    20231210      50
JLQ6546  14500753    20240416      50
MWB2923  65071478    20230909      60
YJI3961  37328103    20240219      31
BZY0235  45181396    20240326      44
IMK4892  21344013    20231024      90
CRR5443  66747161    20240128      10
BUT4998  35030611    20240418      44
FWP8469  37751890    20231108      56
JSM8271  65830353    20231223      79
QYH7021  46582367    20240108      90
VMW6915  92240876    20240216      71
ALH8812  83265244    20231219      98
DVR5984  63602514    20231205       2
PPI9259  60740809    20231008      86
USE5598  57431952    20240312      37
IBP7411  54393647    20240315      61
EEJ4830  87804471    20231104      16
VMW6915  14268463    20231125      46
NFP3266  88080249    20240322      72
NEW1762  37751890    20240301      65
NBL8415  37751890    20240326      57
RLQ7170  33583840    20231109      74
TBZ2657  81462164    20240502      11
ZLE2920  34460612    20240314      92
RWW7975  42302422    20240402      42
UCJ9882  45181396    20240312       9
JGG5049  57431952    20240213      18
QHZ8547  57431952    20230916      89
LQA8555  49516360    20240202      22
JXK3142  37328103    20240225      30
BDK4183  72832218    20240309      84
HVZ1228  83265244    20240216      62
BZY0235  58717040    20240103      92
DEK2757  57431952    20230902      84
WHU1288  42302422    20231225      65
XIU2628  17750908    20240303      50
