Codigo                        Nombre                   Escala       Licencia       Total
========================================================================================================================
202119153   MENDOZA/ARIAS/HENRY                          4           -         612.37
202113758   SOMA/INGA/DIALY                              1           -         310.53
202123373   ESCALANTE/RARAZ/BLANCA                       3           -         545.04
202224569   RIVERA/PASQUEL/OFELIA-CINTHIA                5           -         733.59
202214628   PALOMARES/GUEVARA/KARINA                     5           -         800.28
202115802   MINAYA/AMEZQUITA/RHONY-JAIME                 5           -         800.28
202129611   MALDONADO/CORREA/LUCERO-CAROLA               2           -         398.20
202313249   NORABUENA/PAIRAZAMAN/JULIAN                  3           -         499.62
202221155   CORRALES/ZIMIC/JAIME-DANIEL                  5           -         800.28
202315643   IBEROS/ZAMBRANO/GONZALO                      2           -         398.20
202315318   FLORENCIO/LAM/PAUL-RONALD                    3           -         499.62
202318383   GORDILLO/BOLANOS/ARTURO-GONZALO              3           -         545.04
202211325   MORI/ARROYO/SHIRLEY                          3           -         545.04
202216995   LARRIEGA/ARCA/ISABEL-MADELEINE               5           -         733.59
202311247   SERRANO/JOLAY/RHONY-ROLANDO                  5           -         733.59
202122742   ZAVALETA/LOPEZ/KARIN-VIRGINIA                5           -         733.59
202313122   CUBA/NARVAEZ/PAUL-JOHN                       2           -         434.40
202316517   ZEGARRA/CUBA/ANTONIO                         2           -         398.20
202119958   QUISPE/BERROCAL/ANTONIO-ALVARO-DANIEL        3           -         499.62
202111260   GORDILLO/CASTRO/RONAL                        2           -         434.40
202125607   POZO/JUGO/ISABEL                             2           -         398.20
202123402   VIZCARDO/MORI/LUCERO-ZKENIA                  1           -         338.76
202129719   MAEIREIZO/VASQUEZ/LOURDES-SILVIA             2           -         398.20
202123703   GAMARRA/TABORI/PAUL-RONAL                    5           -         466.83
202127660   CHANG/ARGUEDAS/HENRY-ANTONIO                 4           -         417.53
202112598   MORI/ZAVALETA/LUZ-LOURDES                    1           -         225.84
202121791   GONZALES/VELASQUEZ/WALTER                    1           -         211.73
202224918   PORTUGAL/GUEVARA/HELI-JOHANA                 5           -         333.45
202112887   CABRERA/AGUERO/JESSICA                       2           -         181.00
202126490   TAVERA/CORREA/FERNANDO                       2           -         181.00
202114739   VELASQUEZ/CANO/FERNANDO                      4           -         278.35
